Genero;Glabellar.Length;Glabellar.Width;Body.Length
Acasta;3.5;3.77;23.14
Balizoma;3.97;4.08;14.32
Calimena;10.91;10.72;51.69
Cerauro;4.9;4.69;21.15
Cheiruro;9.33;12.11;31.74
Cybantyx;11.35;10.1;26.81
Cibeloides;6.39;6.81;25.13
Dalmanitas;8.46;6.08;32.93
Delphion;6.92;9.01;21.81
ormahopes;5.03;4.34;13.88
facopdina;7.03;6.79;21.43
facops;5.3;8.19;27.23
Placopoaria;9.4;8.71;38.15
Priciclopigio;14.98;12.98;40.11
ptoparia;12.25;8.71;62.17
Rhenops;19;13.1;55.94
esferexoco;3.84;4.6;23.31
Toxochasmops;8.15;11.42;46.12
trímero;23.18;21.52;89.43
Zacanthoides;13.56;11.78;47.89
